关键词,名称,sal,d,d1,d2
"vue
python
web前端开发
react
微应用API
全栈开发
专业培训
五险一金
补充医疗保险",python Web开发工程师,1.5-2万,上海,1年,本科
"计算机
mysql
数据库
linux
需求分析
redis
git
通信
方案设计
软件
五险一金
交通补贴
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检",Python开发工程师,1.8-2万·15薪,深圳,3-4年,本科
"五险一金
补充医疗保险
定期体检
专业培训
绩效奖金
年终奖金",Python研发工程师(J10097),18-30万/年,苏州·苏州工业园区,2年,本科
"git
docker
django
python
五险一金
专业培训
年终奖金",后端开发工程师（Python）,1.6-2.5万,广州·番禺区,5-7年,本科
"微服务架构
vue
react
python
web开发
专业培训
五险一金
补充医疗保险",python web软件开发工程师,1-2万,上海,1年,本科
"计算机
linux
需求分析
sql
git
mysql数据库
运维
shell
selenium
需求文档编写
国企平台
办公环境好
五险一金",Python开发工程师,8千-1.1万,佛山·南海区,2年,大专
"计算机
数据库
redis
mongodb
postgresql
django
做五休二
五险一金
专业培训",Python工程师（Tornado/Django）,2.3-3万,大连,2年,本科
"计算机
mysql
oracle
数据库
linux
django
flask
后端框架
python编程
容器技术
专业培训
定期体检
五险一金",中高级Python开发/双休,1.4-1.9万,广州·海珠区,3-4年,本科
"计算机
mysql
linux
需求分析
redis
sql
推广
金融
sqlserver
产品开发
通讯补贴
餐饮补贴
员工旅游
交通补贴
免费班车
年终奖金",Python-RPA开发工程师,1.3-1.5万,深圳·福田区,3-4年,本科
"python
自动化
脚本
C
英文
RTL
五险一金
补充医疗保险
员工旅游
年终奖金
弹性工作
定期体检",Python Automation Engineer 自动化开发工程师,1.5-3万,上海·浦东新区,3-4年,本科
"python
软件开发
软件工程师
开发工程师
工程师
绩效奖金
年终奖金
弹性工作
专业培训
五险一金
出国机会
股票期权",python量化开发工程师,1-2万,上海·浦东新区,5-7年,本科
"计算机
数据库
项目开发
go
python
运维开发
后端开发
javascript
专业培训
定期体检
五险一金",Python/周末双休,1.4-1.8万,广州·天河区,3-4年,本科
五险一金,"Python,数据分析,机器学习建模",1.5-2万,苏州,2年,本科
,python实习生可转正,4-6千,大连·高新园区,无需经验,大专
"java
mysql
oracle
sqlserver
c#
数据结构
数据库设计
项目开发
odoo
Python
五险一金
补充医疗保险
员工旅游
餐饮补贴
绩效奖金
年终奖金
定期体检",Python开发工程师,1.2-1.8万,上海·徐汇区,2年,本科
"计算机
mysql
数据库
linux
调试
sqlserver
自动化
c++
git
postman
五险一金
免费工作餐
年终奖金
5天8小时
加班费",Python工程师,6-7千,昆山,1年,本科
五险一金,"Python,机器学习建模,数据分析",1.5-2万,北京,2年,本科
"Python
架构师
java
高可用性
软件开发
五险一金
绩效奖金
员工旅游",高级软件工程师（Python）,1.2-2万·13薪,深圳,5-7年,本科
"python
软件开发
软件工程师
开发工程师
django
五险一金
股票期权
绩效奖金",Python开发工程师,1.5-2万,上海,2年,大专
"计算机
项目开发
五险一金
交通补贴
餐饮补贴
通讯补贴
绩效奖金
年终奖金
定期体检",Python工程师,1-2万·14薪,上海·松江区,1年,本科
"python
软件开发
开发
爬取
编程语言
五险一金
专业培训
绩效奖金
餐饮补贴",python开发工程师（双休）,7千-1万,广州·荔湾区,2年,大专
"rpa开发
五险一金",Python/RPA工程师,7千-1万,深圳·南山区,2年,大专
"五险一金
补充医疗保险
员工旅游
年终奖金
定期体检
绩效奖金
餐饮补贴",Python开发工程师-福州,8千-1.5万·13薪,福州·鼓楼区,1年,本科
"c++
数学
编程语言
python
五险一金
交通补贴
餐饮补贴
绩效奖金
年终奖金
定期体检
通讯补贴
专业培训",C/C++/Python开发工程师,1.5-2.5万·15薪,北京,3-4年,本科
"flask
爬虫
django",Python数据工程师,5-8千,青岛·高新区,1年,本科
"Python
五险一金
绩效奖金
弹性工作
员工旅游
节日福利
带薪年假
周末双休",开发工程师（Python）,9千-1.5万,上海·浦东新区,1年,本科
"五险一金
员工旅游
定期体检
餐饮补贴
年终奖金",中级Python开发工程师,1.1-1.7万·14薪,杭州,3-4年,本科
"python
数据库
linux
django
sql
flask
redis
爬虫
Java
web
五险一金
补充医疗保险
补充公积金
通讯补贴
年终奖金
餐饮补贴
绩效奖金
定期体检
弹性工作
专业培训",Python开发工程师,8千-1.5万,北京·海淀区,1年,大专
"Python
机器学习
算法
做五休二
绩效奖金
节日福利
专业培训",Python开发工程师,1-2万,珠海·香洲区,1年,大专
"软件开发
五险一金
弹性工作",高级Python开发工程师,2-4万·13薪,上海,5-7年,本科
五险一金,"机器学习建模,Python,数据分析",1.5-2万,上海,2年,本科
"python
数据库
linux
django
sql
flask
redis
爬虫
Java
web
五险一金
补充医疗保险
补充公积金
通讯补贴
年终奖金
餐饮补贴
绩效奖金
定期体检
弹性工作
专业培训",Python开发工程师,8千-1.5万,北京·海淀区,1年,大专
"五险一金
周末双休
带薪年假
专业培训
绩效奖金
团队聚餐
员工旅游",Python开发高级工程师,8千-1.6万,佛山·南海区,5-7年,大专
"python
数据库
linux
五险一金
员工旅游
周末双休
法定节假日
定期体检
节日福利
年终奖
高温补贴
全勤奖
团建",Python数据工程师,5-8千,青岛·高新区,1年,本科
