图片,名称,sal,d,d1,d2,名称_链接,名称3,dc,dc4,dc5,关键词
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_elect.png,Linux系统工程师,1.2-2万·15薪,上海,5-7年,大专,https://jobs.51job.com/all/coA2ABbARgVGoPaVc0XDA.html,上海集成电路装备材料产业创新中心有限公司,电子技术/半导体/集成电路,国企,1000-5000人,"linux
存储系统
虚拟化系统
python
监控系统部署
五险一金
补充医疗保险
补充公积金
交通补贴
餐饮补贴
通讯补贴
专业培训
出国机会
年终奖金
绩效奖金"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,初级RPA开发工程师,6千-1万,广州,1年,大专,https://jobs.51job.com/all/coAmIGawRgBzADZANiB2c.html,广东合生信息科技有限公司,计算机软件,民营,1000-5000人,"rpa
网络爬虫
五险一金
绩效奖金"
https://img01.51jobcdn.com/fansImg/CompLogo/3/2573/2572056/2572056_300.png?636795195622782385,爬虫工程师,1.2-2万,重庆,3-4年,大专,https://jobs.51job.com/all/coVjJSM1YyVWkCZw1rUjE.html,重庆云上航空票务股份有限公司,航天/航空,民营,150-500人,"带薪年假
高温补贴
专业培训
节日福利
包午餐
年底分红
生日礼品"
https://img01.51jobcdn.com/fansImg/CompLogo/6/5722/5721050/5721050_300.jpg?637112474577298495,数据采集工程师,1-1.5万,成都,3-4年,大专,https://jobs.51job.com/all/coVjUFZl4_VWoGYwRiUTQ.html,西南财经大学,金融/投资/证券,事业单位,少于50人,"入库
数据采集
采集数据
统计分析数据
结构化
持续运营
采集策略
处理性能
性能优化
五险一金
绩效奖金"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/home_logo_default.png,500强外企-低代码开发,1-2万,上海·长宁区,1年,本科,https://jobs.51job.com/all/coUjJQPARgDzMHY1M1UzM.html,万宝盛华企业管理咨询（上海）有限公司浦东分公司,中介服务,民营,,"低代码
自动化
RPA
***本科以上
JavaScript
python
周末双休
五险一金
补充医疗保险
带薪年假
年终奖金
免费班车"
https://img01.51jobcdn.com/fansImg/CompLogo/4/3943/3942485/3942485_300.jpg?637819045740442875,数据处理工程师,7-9千,上海·宝山区,1年,本科,https://jobs.51job.com/all/coBWBWO1E2BDgCYwNoB2c.html,上海大牧汗食品股份有限公司,快速消费品(食品、饮料、化妆品),民营,150-500人,"数据
数据库
数据处理
五险一金
节日福利
弹性工作
绩效奖金
年终奖金"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_elect.png,爬虫工程师,2-3万·17薪,杭州,3-4年,大专,https://jobs.51job.com/all/coBWRQNgNnDzJUMFc1UDA.html,复猎（上海）企业管理咨询有限公司,电子技术/半导体/集成电路,民营,,"计算机
java
mysql
linux
redis
调试
js
android
selenium
kafka"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_compuserve.png,后端开发工程师,7千-1万,合肥·高新区,1年,本科,https://jobs.51job.com/all/coUTBcOFY0BT0GZVA7UjU.html,合肥智伟物联科技有限公司,计算机服务(系统、数据服务、维修),民营,少于50人,"mysql
spring
linux
sql
vue
git
react
餐饮补贴
专业培训
弹性工作
年终奖金
绩效奖金
员工旅游
五险"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,AI工程师,5.6-8千,佛山·南海区,1年,大专,https://jobs.51job.com/all/coAGEAYQNgVm8AbQxpVjQ.html,广东元展智能技术有限公司,计算机软件,民营,少于50人,"计算机
调试
c++
方案设计
通讯
opencv
脚本语言
算法设计
迭代优化
ai算法"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_internet.png,AI数据工程师,1-2万,上海·普陀区,1年,本科,https://jobs.51job.com/all/coCWtdOVEzUWpSNQNoAmI.html,上海逸豆数码科技有限公司,互联网/电子商务,外资（非欧美）,50-150人,"报表
机器学习
grafana
分析工具
图表
kibana
模型训练
报表开发
五险一金
员工旅游
绩效奖金
年终奖金
定期体检"
https://img01.51jobcdn.com/fansImg/CompLogo/8/7415/7414533/91564999062194662633_300.png?1663900227842,Researcher 研究员（数据分析方向）,1.5-3万·14薪,上海·闵行区,无需经验,硕士,https://jobs.51job.com/all/coBWRWNlc1UWtVNQdnVTM.html,液化空气（中国）研发有限公司,石油/化工/矿产/地质,外资（欧美）,少于50人,"数据分析
BI
Tableau
SQL/NoSQL
Azure
统计学
Python
应用数学
Minitab/SAS
SPSS
五险一金
员工旅游
年终奖金
弹性工作
定期体检
专业培训
节假日福利
股票期权
免费班车
出国机会"
https://img01.51jobcdn.com/fansImg/CompLogo/3/2596/2595684/413488005916312417248_300.png?1695796159650,爬虫开发工程师,1.1-1.8万,杭州·西湖区,3-4年,本科,https://jobs.51job.com/all/coUTUBYAVvVW4BYlA7BWQ.html,浙江甲骨文超级码科技股份有限公司,计算机软件,民营,150-500人,"爬虫
python
餐饮补贴
专业培训
绩效奖金
年终奖金
五险一金
交通补贴
定期体检
弹性工作
下午茶
健身俱乐部"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_imnetwork.png,自动化测试工程师,20-30万/年,上海·浦东新区,3-4年,本科,https://jobs.51job.com/all/coBGVTMl88VWpTPgBhBWU.html,国科量子通信网络有限公司,通信/电信/网络设备,国企,150-500人,"自动化测试
shell
Python
c++
五险一金
补充公积金
补充医疗保险
交通补贴
餐饮补贴
通讯补贴
定期体检
绩效奖金"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_internet.png,算法运维工程师,6千-1万,广州·海珠区,1年,大专,https://jobs.51job.com/all/coBWcBZABjUmxSN1M4UzU.html,广州市派客朴食信息科技有限责任公司,互联网/电子商务,民营,150-500人,"计算机
测试
开发
自动化
c++
编程
电子信息
技术交流
产品培训
项目维护
五险一金
年终奖金
绩效奖金"
https://img01.51jobcdn.com/fansImg/CompLogo/5/4126/4125396/4125396_120.gif?636142235367298494,高级NLP算法工程师,2-4万,武汉,3-4年,本科,https://jobs.51job.com/all/coVTdQNVY3Bj1SNFM5VDc.html,深圳市易佰网络科技有限公司武汉分公司,互联网/电子商务,民营,1000-5000人,"pytorch
python
c++
五险一金
员工旅游
绩效奖金
年终奖金
带薪年假"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_elect.png,强化学习算法工程师,1.2-1.5万·13薪,深圳,2年,本科,https://jobs.51job.com/all/coVTBcMARjUWsFYw1vAmM.html,东莞市拓能电子科技有限公司,电子技术/半导体/集成电路,民营,50-150人,"编程
tensorflow
caffe
python
pytorch
c++
五险一金
补充公积金
餐饮补贴
弹性工作
年终奖金
绩效奖金
员工旅游
专业培训"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_auto.png,AI算法落地工程师,1.5-3万,上海·嘉定区,3-4年,本科,https://jobs.51job.com/all/coVjVTMgRvAzUObVEyUjE.html,上海达曦信息科技有限公司,汽车,民营,50-150人,"python
pipeline
c++
ncnn
五险一金"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_internet.png,大数据工程师,1-1.5万,郑州·中原区,3-4年,大专,https://jobs.51job.com/all/coVDpRN1Q_ADZTMVE3AmE.html,河南海问网络科技有限公司,互联网/电子商务,民营,150-500人,
https://img01.51jobcdn.com/fansImg/CompLogo/8/7093/7092353/1649666237596_300.jpeg?1649666322854,数据模型岗,1.5-2万,深圳·南山区,1年,本科,https://jobs.51job.com/all/coUzIBZQNpVWkGYFYwBWM.html,深圳爱生生命科技有限公司,医疗/护理/卫生,民营,50-150人,"java
数据库
数据分析
需求分析
c++
数据库设计
统计分析
医疗健康
生物信息
检测报告
做五休二
五险一金
绩效奖金
专业培训"
